Store_Name,Discount,link,Scraped_Date
Catch Connect,3.00% Cashback,https://www.shopback.com.au/catch-connect?feature_id=8361&feature_name=Catch+Connect&feature_type=sboc-baseline&feature_position=94&merchant_id=8361&merchant_name=Catch+Connect&offer_id=8361&offer_type=oc&offer_name=Catch+Connect&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8361,2023/04/01
Crocs Australia,3.00% Cashback,https://www.shopback.com.au/crocs-australia?feature_id=7918&feature_name=Crocs+Australia&feature_type=sboc-baseline&feature_position=95&merchant_id=7918&merchant_name=Crocs+Australia&offer_id=7918&offer_type=oc&offer_name=Crocs+Australia&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7918,2023/04/01
Lorna Jane,3.00% Cashback,https://www.shopback.com.au/lorna-jane?feature_id=7951&feature_name=Lorna+Jane&feature_type=sboc-baseline&feature_position=96&merchant_id=7951&merchant_name=Lorna+Jane&offer_id=7951&offer_type=oc&offer_name=Lorna+Jane&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7951,2023/04/01
Platypus Shoes,Up to 3.60% Cashback,https://www.shopback.com.au/platypus-shoes?feature_id=8160&feature_name=Platypus+Shoes&feature_type=sboc-baseline&feature_position=97&merchant_id=8160&merchant_name=Platypus+Shoes&offer_id=8160&offer_type=oc&offer_name=Platypus+Shoes&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8160,2023/04/01
Hotels.com,3.00% Cashback,https://www.shopback.com.au/hotels-com?feature_id=8434&feature_name=Hotels.com&feature_type=sboc-baseline&feature_position=98&merchant_id=8434&merchant_name=Hotels.com&offer_id=8434&offer_type=oc&offer_name=Hotels.com&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8434,2023/04/01
Samsung,2.80% Cashback,https://www.shopback.com.au/samsung-au?feature_id=7997&feature_name=Samsung&feature_type=sboc-baseline&feature_position=99&merchant_id=7997&merchant_name=Samsung&offer_id=7997&offer_type=oc&offer_name=Samsung&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7997,2023/04/01
Anaconda,1.80% Cashback,https://www.shopback.com.au/anaconda?feature_id=7769&feature_name=Anaconda&feature_type=sboc-baseline&feature_position=100&merchant_id=7769&merchant_name=Anaconda&offer_id=7769&offer_type=oc&offer_name=Anaconda&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7769,2023/04/01
White Fox Boutique,Temporarily Unavailable,https://www.shopback.com.au/white-fox-boutique?feature_id=13796&feature_name=White+Fox+Boutique&feature_type=sboc-baseline&feature_position=101&merchant_id=13796&merchant_name=White+Fox+Boutique&offer_id=13796&offer_type=oc&offer_name=White+Fox+Boutique&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_13796,2023/04/01
Specsavers,Up to 4.80% Cashback,https://www.shopback.com.au/specsavers?feature_id=8183&feature_name=Specsavers&feature_type=sboc-baseline&feature_position=102&merchant_id=8183&merchant_name=Specsavers&offer_id=8183&offer_type=oc&offer_name=Specsavers&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8183,2023/04/01
etoro,$50.00 Cashback,https://www.shopback.com.au/etoro?feature_id=184849&feature_name=etoro&feature_type=sboc-baseline&feature_position=103&merchant_id=184849&merchant_name=etoro&offer_id=184849&offer_type=oc&offer_name=etoro&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_184849,2023/04/01
Elite Supps,6.00% Cashback,https://www.shopback.com.au/elite-supps?feature_id=8190&feature_name=Elite+Supps&feature_type=sboc-baseline&feature_position=104&merchant_id=8190&merchant_name=Elite+Supps&offer_id=8190&offer_type=oc&offer_name=Elite+Supps&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8190,2023/04/01
Skyscanner,Up to 3.50% Cashback,https://www.shopback.com.au/skyscanner?feature_id=67733&feature_name=Skyscanner&feature_type=sboc-baseline&feature_position=105&merchant_id=67733&merchant_name=Skyscanner&offer_id=67733&offer_type=oc&offer_name=Skyscanner&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_67733,2023/04/01
Culture Kings,Up to 3.25% Cashback,https://www.shopback.com.au/culturekings?feature_id=25343&feature_name=Culture+Kings&feature_type=sboc-baseline&feature_position=106&merchant_id=25343&merchant_name=Culture+Kings&offer_id=25343&offer_type=oc&offer_name=Culture+Kings&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_25343,2023/04/01
Telstra,Up to $37.50 Cashback,https://www.shopback.com.au/telstra?feature_id=8303&feature_name=Telstra&feature_type=sboc-baseline&feature_position=107&merchant_id=8303&merchant_name=Telstra&offer_id=8303&offer_type=oc&offer_name=Telstra&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8303,2023/04/01
HelloFresh,Up to 55.00% Cashback,https://www.shopback.com.au/hellofresh?feature_id=8032&feature_name=HelloFresh&feature_type=sboc-baseline&feature_position=108&merchant_id=8032&merchant_name=HelloFresh&offer_id=8032&offer_type=oc&offer_name=HelloFresh&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=upsize&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8032,2023/04/01
Bing Lee,1.80% Cashback,https://www.shopback.com.au/bing-lee?feature_id=8384&feature_name=Bing+Lee&feature_type=sboc-baseline&feature_position=109&merchant_id=8384&merchant_name=Bing+Lee&offer_id=8384&offer_type=oc&offer_name=Bing+Lee&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8384,2023/04/01
PureVPN,15.00% Cashback,https://www.shopback.com.au/purevpn?feature_id=10225&feature_name=PureVPN&feature_type=sboc-baseline&feature_position=110&merchant_id=10225&merchant_name=PureVPN&offer_id=10225&offer_type=oc&offer_name=PureVPN&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_10225,2023/04/01
Showpo,Up to 4.20% Cashback,https://www.shopback.com.au/showpo?feature_id=7998&feature_name=Showpo&feature_type=sboc-baseline&feature_position=111&merchant_id=7998&merchant_name=Showpo&offer_id=7998&offer_type=oc&offer_name=Showpo&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7998,2023/04/01
Sportsgirl,3.00% Cashback,https://www.shopback.com.au/sportsgirl?feature_id=63158&feature_name=Sportsgirl&feature_type=sboc-baseline&feature_position=112&merchant_id=63158&merchant_name=Sportsgirl&offer_id=63158&offer_type=oc&offer_name=Sportsgirl&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_63158,2023/04/01
Nespresso,Up to $28 Cashback,https://www.shopback.com.au/nespresso-australia?feature_id=72623&feature_name=Nespresso&feature_type=sboc-baseline&feature_position=113&merchant_id=72623&merchant_name=Nespresso&offer_id=72623&offer_type=oc&offer_name=Nespresso&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_72623,2023/04/01
Paula's Choice,4.00% Cashback,https://www.shopback.com.au/paulas-choice?feature_id=8375&feature_name=Paula%27s+Choice&feature_type=sboc-baseline&feature_position=114&merchant_id=8375&merchant_name=Paula%27s+Choice&offer_id=8375&offer_type=oc&offer_name=Paula%27s+Choice&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8375,2023/04/01
Strand,2.40% Cashback,https://www.shopback.com.au/strand?feature_id=26261&feature_name=Strand&feature_type=sboc-baseline&feature_position=115&merchant_id=26261&merchant_name=Strand&offer_id=26261&offer_type=oc&offer_name=Strand&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_26261,2023/04/01
ASICS,3.00% Cashback,https://www.shopback.com.au/asics?feature_id=9834&feature_name=ASICS&feature_type=sboc-baseline&feature_position=116&merchant_id=9834&merchant_name=ASICS&offer_id=9834&offer_type=oc&offer_name=ASICS&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_9834,2023/04/01
JSHealth Vitamins,3.00% Cashback,https://www.shopback.com.au/jshealth-vitamins?feature_id=62912&feature_name=JSHealth+Vitamins&feature_type=sboc-baseline&feature_position=117&merchant_id=62912&merchant_name=JSHealth+Vitamins&offer_id=62912&offer_type=oc&offer_name=JSHealth+Vitamins&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_62912,2023/04/01
SHEIKE,Up to 3.00% Cashback,https://www.shopback.com.au/sheike?feature_id=23214&feature_name=SHEIKE&feature_type=sboc-baseline&feature_position=118&merchant_id=23214&merchant_name=SHEIKE&offer_id=23214&offer_type=oc&offer_name=SHEIKE&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_23214,2023/04/01
Novo Shoes,4.80% Cashback,https://www.shopback.com.au/novo-shoes?feature_id=23010&feature_name=Novo+Shoes&feature_type=sboc-baseline&feature_position=119&merchant_id=23010&merchant_name=Novo+Shoes&offer_id=23010&offer_type=oc&offer_name=Novo+Shoes&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_23010,2023/04/01
YSL Beauty,5.00% Cashback,https://www.shopback.com.au/ysl-beauty?feature_id=7717&feature_name=YSL+Beauty&feature_type=sboc-baseline&feature_position=120&merchant_id=7717&merchant_name=YSL+Beauty&offer_id=7717&offer_type=oc&offer_name=YSL+Beauty&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7717,2023/04/01
Gorman,6.00% Cashback,https://www.shopback.com.au/gorman?feature_id=8177&feature_name=Gorman&feature_type=sboc-baseline&feature_position=121&merchant_id=8177&merchant_name=Gorman&offer_id=8177&offer_type=oc&offer_name=Gorman&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8177,2023/04/01
Modibodi,Up to 3.25% Cashback,https://www.shopback.com.au/modibodi?feature_id=8124&feature_name=Modibodi&feature_type=sboc-baseline&feature_position=122&merchant_id=8124&merchant_name=Modibodi&offer_id=8124&offer_type=oc&offer_name=Modibodi&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8124,2023/04/01
Hype DC,Up to 3.60% Cashback,https://www.shopback.com.au/hype-dc?feature_id=8035&feature_name=Hype+DC&feature_type=sboc-baseline&feature_position=123&merchant_id=8035&merchant_name=Hype+DC&offer_id=8035&offer_type=oc&offer_name=Hype+DC&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8035,2023/04/01
Stylerunner,Up to 3.60% Cashback,https://www.shopback.com.au/stylerunner?feature_id=11658&feature_name=Stylerunner&feature_type=sboc-baseline&feature_position=124&merchant_id=11658&merchant_name=Stylerunner&offer_id=11658&offer_type=oc&offer_name=Stylerunner&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_11658,2023/04/01
My Muscle Chef,Up to 6.50% Cashback,https://www.shopback.com.au/my-muscle-chef?feature_id=22671&feature_name=My+Muscle+Chef&feature_type=sboc-baseline&feature_position=125&merchant_id=22671&merchant_name=My+Muscle+Chef&offer_id=22671&offer_type=oc&offer_name=My+Muscle+Chef&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_22671,2023/04/01
General Pants Co,2.40% Cashback,https://www.shopback.com.au/general-pants-co?feature_id=7945&feature_name=General+Pants+Co&feature_type=sboc-baseline&feature_position=126&merchant_id=7945&merchant_name=General+Pants+Co&offer_id=7945&offer_type=oc&offer_name=General+Pants+Co&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7945,2023/04/01
LSKD,4.20% Cashback,https://www.shopback.com.au/lskd?feature_id=72965&feature_name=LSKD&feature_type=sboc-baseline&feature_position=127&merchant_id=72965&merchant_name=LSKD&offer_id=72965&offer_type=oc&offer_name=LSKD&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_72965,2023/04/01
RentalCars.com,5.20% Cashback,https://www.shopback.com.au/rentalcars?feature_id=8401&feature_name=RentalCars.com&feature_type=sboc-baseline&feature_position=128&merchant_id=8401&merchant_name=RentalCars.com&offer_id=8401&offer_type=oc&offer_name=RentalCars.com&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8401,2023/04/01
French Connection,Up to 4.80% Cashback,https://www.shopback.com.au/french-connection?feature_id=7699&feature_name=French+Connection&feature_type=sboc-baseline&feature_position=129&merchant_id=7699&merchant_name=French+Connection&offer_id=7699&offer_type=oc&offer_name=French+Connection&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7699,2023/04/01
Freedom,2.10% Cashback,https://www.shopback.com.au/freedom?feature_id=8368&feature_name=Freedom&feature_type=sboc-baseline&feature_position=130&merchant_id=8368&merchant_name=Freedom&offer_id=8368&offer_type=oc&offer_name=Freedom&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8368,2023/04/01
Kathmandu,0.95% Cashback,https://www.shopback.com.au/kathmandu?feature_id=8343&feature_name=Kathmandu&feature_type=sboc-baseline&feature_position=131&merchant_id=8343&merchant_name=Kathmandu&offer_id=8343&offer_type=oc&offer_name=Kathmandu&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8343,2023/04/01
City Chic,Up to 5.20% Cashback,https://www.shopback.com.au/city-chic?feature_id=7926&feature_name=City+Chic&feature_type=sboc-baseline&feature_position=132&merchant_id=7926&merchant_name=City+Chic&offer_id=7926&offer_type=oc&offer_name=City+Chic&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7926,2023/04/01
Get Wines Direct,Up to 4.80% Cashback,https://www.shopback.com.au/get-wines-direct?feature_id=8017&feature_name=Get+Wines+Direct&feature_type=sboc-baseline&feature_position=133&merchant_id=8017&merchant_name=Get+Wines+Direct&offer_id=8017&offer_type=oc&offer_name=Get+Wines+Direct&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8017,2023/04/01
Farfetch,Up to 1.30% Cashback,https://www.shopback.com.au/farfetch?feature_id=7645&feature_name=Farfetch&feature_type=sboc-baseline&feature_position=134&merchant_id=7645&merchant_name=Farfetch&offer_id=7645&offer_type=oc&offer_name=Farfetch&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7645,2023/04/01
Cover-More Travel Insurance,6.00% Cashback,https://www.shopback.com.au/cover-more-travel-insurance?feature_id=8269&feature_name=Cover-More+Travel+Insurance&feature_type=sboc-baseline&feature_position=135&merchant_id=8269&merchant_name=Cover-More+Travel+Insurance&offer_id=8269&offer_type=oc&offer_name=Cover-More+Travel+Insurance&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8269,2023/04/01
Lenovo,Up to 5.50% Cashback,https://www.shopback.com.au/lenovo?feature_id=8373&feature_name=Lenovo&feature_type=sboc-baseline&feature_position=136&merchant_id=8373&merchant_name=Lenovo&offer_id=8373&offer_type=oc&offer_name=Lenovo&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8373,2023/04/01
